depute_nom,groupe_abrev,scrutin_num,scrutin_date,vote_position,vote_dissident,scrutin_groupe,scrutin_fulldesc,scrutin_dossierLibelle,scrutin_typeLibelle,scrutin_typedetail
Mme Nathalie Sarles,LAREM,39,13/07/2017,absent,False,FI,Scrutin n° 39 du 13/07/2017 : l'amendement n° 234 de M. Quatennens et les amendements identiques suivants à l'article 5 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Dino Cinieri,LR,39,13/07/2017,absent,False,FI,Scrutin n° 39 du 13/07/2017 : l'amendement n° 234 de M. Quatennens et les amendements identiques suivants à l'article 5 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
Mme Valéria Faure-Muntian,LAREM,39,13/07/2017,absent,False,FI,Scrutin n° 39 du 13/07/2017 : l'amendement n° 234 de M. Quatennens et les amendements identiques suivants à l'article 5 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Julien Borowczyk,LAREM,38,13/07/2017,pour,False,Gouvernement,Scrutin n° 38 du 13/07/2017 : l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
M. Jean-Michel Mis,LAREM,38,13/07/2017,pour,False,Gouvernement,Scrutin n° 38 du 13/07/2017 : l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
M. Régis Juanico,SOC,38,13/07/2017,absent,False,Gouvernement,Scrutin n° 38 du 13/07/2017 : l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
Mme Nathalie Sarles,LAREM,38,13/07/2017,absent,False,Gouvernement,Scrutin n° 38 du 13/07/2017 : l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
M. Dino Cinieri,LR,38,13/07/2017,absent,False,Gouvernement,Scrutin n° 38 du 13/07/2017 : l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
Mme Valéria Faure-Muntian,LAREM,38,13/07/2017,absent,False,Gouvernement,Scrutin n° 38 du 13/07/2017 : l'article 4 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,article
Mme Nathalie Sarles,LAREM,79,27/07/2017,pour,True,LR,Scrutin n° 79 du 27/07/2017 : l'amendement n° 34 de M. Reitzer à l'article 6 du projet de loi pour la confiance dans la vie publique            (première lecture).       ,"Pouvoirs publics : confiance dans l'action publique
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,79,27/07/2017,absent,False,LR,Scrutin n° 79 du 27/07/2017 : l'amendement n° 34 de M. Reitzer à l'article 6 du projet de loi pour la confiance dans la vie publique            (première lecture).       ,"Pouvoirs publics : confiance dans l'action publique
",Scrutins publics ordinaires,amendement
